Nom,Département,Code commune,Position géographique,UIC,Jour de la semaine,Horaire en jour normal,Horaire en jour férié,Type_ville,Latitude,Longitude
Château-Arnoux-Saint-Auban,Alpes-de-Haute-Provence,4049,"44.0615651, 5.9973734",87751230,Mardi,05:45-21:00,07:30-21:00,Petite ville,44.0615651,5.9973734
Château-Arnoux-Saint-Auban,Alpes-de-Haute-Provence,4049,"44.0615651, 5.9973734",87751230,Mercredi,05:45-21:00,07:30-21:00,Petite ville,44.0615651,5.9973734
Château-Arnoux-Saint-Auban,Alpes-de-Haute-Provence,4049,"44.0615651, 5.9973734",87751230,Jeudi,05:45-21:00,07:30-21:00,Petite ville,44.0615651,5.9973734
Château-Arnoux-Saint-Auban,Alpes-de-Haute-Provence,4049,"44.0615651, 5.9973734",87751230,Vendredi,05:45-21:00,07:30-21:00,Petite ville,44.0615651,5.9973734
Château-Arnoux-Saint-Auban,Alpes-de-Haute-Provence,4049,"44.0615651, 5.9973734",87751230,Samedi,05:45-21:00,07:30-21:00,Petite ville,44.0615651,5.9973734
Château-Arnoux-Saint-Auban,Alpes-de-Haute-Provence,4049,"44.0615651, 5.9973734",87751230,Dimanche,07:30-21:00,07:30-21:00,Petite ville,44.0615651,5.9973734
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Lundi,13:30-17:10,,Petite ville,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Lundi,09:00-12:30,,Petite ville,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Mardi,09:00-12:30,,Petite ville,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Mardi,13:30-17:10,,Petite ville,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Mercredi,09:00-12:30,,Petite ville,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Mercredi,13:30-17:10,,Petite ville,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Jeudi,09:00-12:30,,Petite ville,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Jeudi,13:30-17:10,,Petite ville,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Vendredi,13:30-17:10,,Petite ville,43.432032,6.732941
Fréjus,Var,83061,"43.432032, 6.732941",87757500,Vendredi,09:00-12:30,,Petite ville,43.432032,6.732941
Gap,Hautes-Alpes,5061,"44.563693, 6.085638",87763003,Lundi,04:45-22:50,06:00-22:50,Petite ville,44.563693,6.085638
Gap,Hautes-Alpes,5061,"44.563693, 6.085638",87763003,Mardi,04:45-22:50,06:00-22:50,Petite ville,44.563693,6.085638
Gap,Hautes-Alpes,5061,"44.563693, 6.085638",87763003,Mercredi,04:45-22:50,06:00-22:50,Petite ville,44.563693,6.085638
Gap,Hautes-Alpes,5061,"44.563693, 6.085638",87763003,Jeudi,04:45-22:50,06:00-22:50,Petite ville,44.563693,6.085638
Gap,Hautes-Alpes,5061,"44.563693, 6.085638",87763003,Vendredi,04:45-22:50,06:00-22:50,Petite ville,44.563693,6.085638
Gap,Hautes-Alpes,5061,"44.563693, 6.085638",87763003,Samedi,04:45-22:00,06:00-22:50,Petite ville,44.563693,6.085638
Gap,Hautes-Alpes,5061,"44.563693, 6.085638",87763003,Dimanche,06:00-22:50,06:00-22:50,Petite ville,44.563693,6.085638
Grasse,Alpes-Maritimes,6069,"43.653317, 6.925524",87757724,Lundi,07:00-20:00,09:00-16:10,Petite ville,43.653317,6.925524
Grasse,Alpes-Maritimes,6069,"43.653317, 6.925524",87757724,Mardi,07:00-20:00,09:00-16:10,Petite ville,43.653317,6.925524
Grasse,Alpes-Maritimes,6069,"43.653317, 6.925524",87757724,Mercredi,07:00-20:00,09:00-16:10,Petite ville,43.653317,6.925524
