Nom,Département,Code commune,Position géographique,UIC,Jour de la semaine,Horaire en jour normal,Horaire en jour férié,Latitude,Longitude
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Samedi,06:00-21:00,06:00-21:00,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Dimanche,07:30-21:00,07:30-21:00,43.9247771,5.8923199
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Lundi,09:00-13:00,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Lundi,14:00-17:10,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Mardi,09:00-13:00,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Mardi,14:00-17:10,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Mercredi,14:00-17:10,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Mercredi,09:00-13:00,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Jeudi,14:00-17:10,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Jeudi,09:00-13:00,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Vendredi,09:00-13:00,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Vendredi,14:00-17:10,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Samedi,09:00-13:00,Fermé,43.199593,5.632647
La Ciotat - Ceyreste,Bouches-du-Rhône,13028,"43.199593, 5.632647",87751784,Samedi,14:00-17:10,Fermé,43.199593,5.632647
La Pauline Hyères,Var,83062,"43.1364769, 6.0351027",87755314,Lundi,06:15-09:15,,43.1364769,6.0351027
La Pauline Hyères,Var,83062,"43.1364769, 6.0351027",87755314,Jeudi,09:45-12:15,,43.1364769,6.0351027
Le Luc - Le Cannet,Var,83031,"43.3902379, 6.3430972",87755405,Mercredi,06:15-09:15,,43.3902379,6.3430972
Le Luc - Le Cannet,Var,83031,"43.3902379, 6.3430972",87755405,Vendredi,10:30-13:30,,43.3902379,6.3430972
Les Arcs - Draguignan,Var,83004,"43.455524, 6.482498",87755447,Lundi,05:30-22:00,05:30-23:00,43.455524,6.482498
Les Arcs - Draguignan,Var,83004,"43.455524, 6.482498",87755447,Mardi,05:30-22:00,05:30-23:00,43.455524,6.482498
Les Arcs - Draguignan,Var,83004,"43.455524, 6.482498",87755447,Mercredi,05:30-22:00,05:30-23:00,43.455524,6.482498
Les Arcs - Draguignan,Var,83004,"43.455524, 6.482498",87755447,Jeudi,05:30-22:00,05:30-23:00,43.455524,6.482498
Les Arcs - Draguignan,Var,83004,"43.455524, 6.482498",87755447,Vendredi,05:30-23:00,05:30-23:00,43.455524,6.482498
Les Arcs - Draguignan,Var,83004,"43.455524, 6.482498",87755447,Samedi,05:30-23:00,05:30-23:00,43.455524,6.482498
Les Arcs - Draguignan,Var,83004,"43.455524, 6.482498",87755447,Dimanche,05:30-23:00,05:30-23:00,43.455524,6.482498
